13,GA,60729,61348,63153,64946,66504,67362,66333,67099,68318,68656,70787,73063,76071,76012,74545,73538,74103,72918,72831,74129,71334,70676,70003,70201,70526,71843,73819,75260,76958,78127,77821,75932,73850,72793,73098,73054,72616,74290,73920,74593,74030,71879,71133,69499,68520,69916,69484,71715,74977,78165,74020,70774,68869,69791,71032,73379,73001,72307,71964,70374,68339,66971,66037,64495,62484,60513,58147,56270,54708,51591,50351,49132,49049,47859,35073,34303,33342,32277,27654,24738,22826,21017,18865,16595,15679,16100,14532,12964,11396,9828,8261,6693,5125,3557,1989,1287
15,HI,8152,8306,8420,8481,8719,8723,8707,8934,8852,8622,8340,8403,8436,8096,7972,7946,7911,7590,7370,7309,7499,7880,7990,8335,8599,8945,9230,9487,9776,9948,10005,9826,9745,9789,9714,9676,9763,9977,9776,9688,9518,8991,8712,8504,8385,8267,8294,8181,8511,9015,9012,8698,8536,8468,8710,9113,9272,9338,9217,9392,9459,9327,9394,9304,9339,9156,8986,9043,8523,8253,8316,7949,7751,7518,5927,5973,5571,5010,4429,4098,3834,3486,3350,3056,2972,3646,3348,3051,2754,2457,2160,2058,1863,1566,1269,972
16,ID,10517,10628,11018,11648,12139,12278,12080,12365,12290,12605,13098,13483,13850,13821,13506,13423,13368,12912,12143,12097,11367,11106,11286,11555,11559,11286,11501,11619,11859,12177,12224,11827,11724,11610,11737,11927,11898,12155,12165,12133,11883,11673,11376,10926,10530,10469,9974,9916,10414,10854,10507,10226,9746,9971,10040,10546,11059,11437,11760,11721,11369,11468,11735,11517,11284,10982,10838,10615,10297,9467,9114,8848,8779,8640,6207,6218,6234,5931,5044,4556,4137,3808,3386,3002,2741,2862,2588,2314,2040,1766,1492,1218,944,670,396,373
17,IL,69229,70067,72560,74118,75830,76089,74556,75395,76098,76611,79268,81683,84451,84673,83091,82637,84352,83258,80573,81280,81464,80394,80519,81457,82794,84510,86126,87638,89203,89081,87699,85707,85536,85049,85974,85944,85170,86541,85865,85859,85277,81993,80845,78941,77163,77621,76522,78093,82322,86546,83235,80797,79513,80728,82008,85624,86538,87141,88216,88259,87042,85913,85397,82097,80077,77933,73913,71434,69095,64923,62626,60555,60285,59522,43333,42520,42716,42959,37447,33602,31000,29800,27736,25087,23578,25996,23638,21280,18922,16565,14207,11849,9492,7375,7134,4776
18,IN,39186,39813,40732,40957,42065,42517,42041,42524,42385,42756,43915,45286,46731,46489,45256,44873,45707,44956,42823,48073,48428,48049,45874,44063,43498,43664,43853,44892,46130,46112,44667,43275,42471,42312,42893,42640,42283,43471,43237,43675,43375,41936,41187,40058,39437,39679,38910,40122,42227,44583,42241,40622,39982,41240,42014,44389,45281,45378,46313,46242,45151,45039,44979,43356,42308,41066,39703,38407,37266,34465,33391,32603,32201,31842,22605,22495,22584,22484,19539,17636,16157,15539,14406,12909,12066,12999,11792,10586,9379,8173,6966,5760,4553,3347,2847,2140
19,IA,18081,18402,19101,19538,19894,19864,19911,19836,19518,19491,20576,21174,21876,21749,21149,20711,20840,20587,20836,23421,23393,23362,22408,20460,19534,19432,19409,19671,20041,19701,19441,18828,18470,18808,19558,19865,19791,20200,20370,20242,20032,19107,18611,17784,17270,17292,16551,16775,18008,19205,18444,18166,17731,18350,18697,19847,20562,21064,21970,21909,21552,21353,21174,20513,20102,19673,18985,18455,18167,16815,15959,15482,15453,15166,10761,10698,10821,10801,9456,8807,8336,8096,7531,6943,6674,7465,6797,6130,5463,4795,4128,3461,2793,2415,2126,1459
20,KS,17260,17548,17795,18252,18930,19116,19071,19204,19155,19504,20080,20365,20838,20687,20192,19816,20002,19743,19073,20332,21197,20834,20365,19715,18921,18838,18337,18495,18753,18486,18103,17936,18042,18371,18962,19173,19202,19481,19167,18896,18428,17601,17221,16841,16182,16125,15539,15682,16530,17497,16902,16361,15700,16174,16737,17896,18562,19188,19645,19754,19399,19223,19100,18638,18035,17506,17110,16376,15948,14599,13939,13474,13486,13315,9409,9501,9648,9399,8161,7534,6882,6571,6305,5669,5417,6085,5543,5001,4460,3918,3377,2835,2293,2041,1752,1210
21,KY,25645,25996,26416,26818,27214,27256,27198,27105,26908,26733,27662,28964,29670,29511,28714,28664,28870,28339,27979,28623,28672,28894,29035,28751,28445,28390,28447,28940,30102,30974,30507,28945,27554,27073,27200,27350,27719,28551,28490,28986,28757,28002,27843,27188,26553,26749,26465,27256,29076,30351,28897,28364,27974,28411,29123,31209,31762,31602,32162,31483,31002,31059,31098,29978,29255,28643,27605,26724,26200,24260,23632,23160,23087,22968,16163,16023,15980,15607,13517,12388,11453,10856,9812,8499,7981,8395,7597,6799,6001,5203,4405,3607,2809,2011,1265,1213
22,LA,27901,28236,29062,29660,30455,30381,29832,29260,29169,29258,30206,31090,32188,31767,30564,30005,29922,29587,28272,28172,29154,29532,30060,29917,29521,29964,30881,31624,33058,34449,34094,33043,31917,31789,32370,32408,32136,32587,32170,31860,30764,29316,28746,27929,26733,26088,25681,26455,27903,29477,28379,27915,27732,28554,29361,31004,31486,31765,32339,32171,32003,31457,31258,30659,30072,29338,27926,26639,25928,24531,23603,22560,22434,22168,16044,16024,15659,15246,13321,12175,11213,10582,9781,8592,8067,8414,7607,6800,5994,5187,4381,3574,2767,1961,1154,1061
23,ME,5962,6122,6240,6317,6493,6533,6580,6628,6657,6730,6996,7251,7530,7586,7463,7483,7599,7639,7820,7783,7453,7257,7197,7166,7329,7513,7718,7950,8090,8247,8407,8434,8326,8300,8468,8214,8051,8330,8269,8194,8153,7989,7886,7555,7540,7737,7721,8150,8853,9339,9122,9072,9177,9578,9752,10297,10651,10976,11226,11274,11121,11309,11414,10941,10770,10427,10405,10095,9861,9108,8835,8690,8691,8423,5802,5807,5998,5784,4889,4367,3979,3869,3610,3213,2988,3239,2940,2641,2342,2044,1745,1446,1148,849,769,550
24,MD,34608,35126,35800,36341,37156,37065,36413,36787,37183,37425,38149,38955,40041,39429,38857,38722,38837,38362,39523,37962,37168,36665,36053,36903,37312,38393,39679,40582,41189,42448,42859,42926,43516,43553,43500,43228,42977,43435,42908,43145,41991,40188,39433,38642,37846,37632,37193,38674,41353,44052,42849,42515,42315,43069,44168,45864,46258,45770,45667,44925,43902,43200,41956,40327,38930,37728,36018,34993,33428,31594,30468,29873,30013,29459,21505,21381,20946,20655,17865,15942,14573,13762,12712,11259,10444,11591,10546,9502,8458,7413,6369,5325,4280,3500,3236,2192
25,MA,33970,34234,35003,35595,35934,36377,36459,36742,36956,37282,37674,38577,39962,40291,40124,40379,41582,42075,51230,56629,52752,50998,48056,46053,47633,48711,49657,49998,49736,49750,50474,50736,50674,50092,49553,48244,46868,46528,45743,44939,44332,43303,42572,41346,41003,41433,41266,42630,45455,48731,47776,47424,47333,48759,49493,51377,51834,51294,51450,50873,49806,49272,48938,47008,45759,44405,42377,41138,39516,36952,36013,35498,35629,35209,25460,25051,24838,24647,20930,18693,17322,16718,15508,14345,13528,15235,13882,12529,11176,9824,8471,7118,5766,5207,4413,3060
26,MI,52931,53720,55216,56353,57255,57744,57397,57422,57422,57753,59859,61337,63034,63415,62784,62817,64542,63712,65187,64190,66083,67393,66817,66060,64383,64544,65072,65870,67712,69501,67417,63182,61175,59749,60679,60287,59707,61100,60986,61341,60811,59737,58784,56934,56279,57051,57154,59320,63661,68242,65775,64045,63513,65412,66365,69718,71515,72050,73322,73467,72360,72642,73479,71415,69181,67264,64876,62781,61201,56728,54395,52994,52723,51867,36696,36323,36764,36971,31815,27964,25433,24211,22504,20293,19097,20660,18750,16840,14931,13021,11112,9202,7292,5383,4767,3473
27,MN,32543,33065,33798,35101,35825,36192,35897,35747,35406,35573,36739,37635,38833,38620,37681,37577,37793,36440,34882,35621,35242,35069,35172,34784,34859,35568,36178,36893,37108,36488,36679,37059,37373,38073,39045,39208,38896,39307,39248,38801,37277,35501,34411,32702,31737,31556,30367,30841,33030,35495,34582,33897,33125,34067,35336,37224,38278,39232,40090,39942,39172,38777,38373,36468,35050,34101,32945,31996,31201,28532,27272,26164,25954,25529,18273,18218,18202,18230,15825,14472,13352,12772,11794,10993,10237,11428,10404,9380,8357,7333,6310,5286,4262,3634,3239,2215
28,MS,17215,17448,17877,18013,18339,18476,18148,18282,18672,18631,19312,20630,21409,21429,20546,19943,20024,19677,19303,20072,19861,19826,19697,19224,19032,19219,19349,19754,20150,20422,20258,19462,18467,18321,18639,18880,18824,19324,19387,19630,19297,18795,18613,18139,17845,17716,17536,18273,19081,19902,18973,18351,18089,18226,18711,19805,20158,20183,20650,20594,20482,20102,19722,19567,19082,18760,18087,17182,16833,15923,15301,14855,14813,14592,10571,10540,10318,10170,8798,8220,7661,7207,6645,5822,5429,5589,5046,4503,3960,3417,2875,2332,1789,1246,703,489
29,MO,34878,35302,35694,36150,36833,37111,36939,36828,36922,37104,38000,39315,40610,40396,39592,39090,39379,38581,36930,39232,39585,39546,39520,39038,39072,39131,39727,40766,42483,42439,41531,40623,39634,39577,40248,40131,39705,40567,40034,40118,39243,37352,36689,35568,34642,34829,33982,35167,37438,39706,37815,36656,36004,37255,38153,40931,42312,43149,44459,44335,43426,42652,42813,41807,40299,38951,37711,36408,35613,33269,32070,31105,31171,31064,22192,22194,22422,22189,19297,17523,16022,15345,14031,12615,11948,12947,11752,10557,9362,8168,6973,5778,4584,3389,3050,2194
30,MT,5522,5589,5837,6140,6280,6371,6313,6217,6265,6324,6547,6640,6869,6759,6583,6475,6587,6373,6154,6300,6513,6759,6989,6916,6714,6689,6714,6863,6989,6919,6908,6706,6613,6559,6701,6843,6822,6941,6876,6757,6645,6398,6298,6145,5838,5704,5472,5511,5804,6283,5991,5874,5755,5858,6140,6750,7109,7305,7621,7857,7854,7902,8053,8014,7890,7782,7604,7356,7107,6570,6311,6011,5833,5706,4065,4002,3963,3856,3326,3081,2736,2616,2336,2158,1974,2120,1922,1725,1528,1330,1133,936,738,541,449,344
31,NE,12252,12330,12665,13143,13223,13206,13206,12979,12994,12951,13343,13779,13888,13716,13632,13415,13348,13241,13060,13933,14044,13476,13269,12838,12573,12506,12634,12632,12742,12243,12038,11881,12173,12492,12688,12770,12881,13156,13000,12869,12508,11805,11526,11053,10726,10853,10342,10388,11062,11265,10914,10616,10248,10525,10828,11597,12121,12373,12850,12780,12548,12369,12294,11895,11698,11443,11076,10673,10548,9801,9393,9047,8799,8639,6087,6202,6203,5993,5246,4823,4521,4438,4185,3844,3662,4042,3675,3309,2943,2577,2211,1845,1479,1162,1113,747
